,State,County,FIPS Code,Avg Temperature (C),Max Temperature (C),Min Temperature (C),Heat_Stress_Day,Cold_Stress_Day,Precipitation (mm),Vapor Pressure Deficit (kPa),Drought_Stress_Day,Wet_Day,Heavy_Rain_Day,Solar Radiation (MJ m**-2 day**-1),Low_Light_Day,Relative Humidity (%),Wind Speed (m s**-1),Year,"PRODUCTION, MEASURED IN BU",harvested_area
0,ARKANSAS,ASHLEY,05003,18.603198630136987,35.7955,-8.312,3.7,108.8,1844.63675,0.683657397260274,0.0,113.0,23.2,122775.89929920001,11.2,73.30917808219178,5.0775728767123285,2017,76000.0,1200.6319115323856
1,ARKANSAS,CROSS,05037,17.07387671232877,35.524,-13.501,3.5,138.6,1545.7559,0.6723446575342465,0.0,106.7,17.4,128836.07910720001,8.9,71.64616438356164,5.383556712328767,2017,282000.0,4298.780487804878
2,ARKANSAS,JEFFERSON,05069,17.776995107632093,35.60357142857143,-11.829642857142858,3.428571428571429,129.28571428571428,1674.127392857143,0.6940039138943248,0.0,98.82142857142857,20.535714285714285,128384.22883062858,5.892857142857142,71.77657534246576,5.07401457925636,2017,240000.0,5405.405405405406
3,ARKANSAS,LEE,05077,17.37400195694716,35.66428571428572,-13.952857142857143,5.142857142857142,132.42857142857142,1581.3546428571428,0.6628477495107632,0.0,105.42857142857143,16.642857142857142,132428.74551634287,6.642857142857142,72.69297455968689,5.409999412915852,2017,225000.0,4697.286012526096
4,ARKANSAS,LINCOLN,05079,17.963514677103717,34.83214285714286,-12.094285714285714,0.9999999999999999,125.57142857142857,1779.6664285714285,0.6719982387475538,0.0,103.5,19.785714285714285,127787.72261348572,7.357142857142858,72.48076320939334,5.143745009784736,2017,206000.0,4497.816593886463
5,ARKANSAS,MONROE,05095,17.290908675799088,36.195,-13.330416666666666,6.75,137.91666666666666,1587.7815833333334,0.6817256849315068,0.0,104.625,17.5,126143.0026992,6.125,72.48558219178082,5.567676484018265,2017,347000.0,5499.207606973058
6,ARKANSAS,PHILLIPS,05107,17.65559817351598,35.562380952380956,-13.038571428571428,4.285714285714286,126.52380952380952,1605.4937142857143,0.6501630789302022,0.0,109.52380952380952,18.523809523809526,130841.4604649143,5.285714285714286,73.45208088714938,5.497604174820613,2017,515000.0,10000.0
7,ARKANSAS,POINSETT,05111,16.91381506849315,35.52625,-15.513125,3.375,137.1875,1494.5609375,0.6579796232876712,0.0,104.875,18.25,128116.4166792,11.0,72.13917808219178,5.39285051369863,2017,453000.0,6801.801801801802
8,ARKANSAS,WOODRUFF,05147,16.844665753424657,35.82,-15.0345,4.85,142.8,1560.1775499999999,0.6299049315068493,0.0,107.5,17.85,126121.18590720001,7.4,73.46569863013698,5.465270410958904,2017,275000.0,3997.093023255814
9,CALIFORNIA,COLUSA,06011,16.331490920675375,39.59581395348837,-3.547906976744186,52.58139534883721,181.27906976744185,700.9039069767442,1.175849060210258,36.95348837209303,57.48837209302326,7.558139534883721,158261.17032133954,5.697674418604651,55.15850270786875,3.663707550175215,2017,350000.0,4801.097393689986
10,CALIFORNIA,FRESNO,06019,13.847216965226552,37.512269230769235,-4.800653846153846,44.465384615384615,209.68076923076924,747.1501346153847,1.0859386828240252,40.41538461538462,50.67307692307692,8.95,165754.76932910772,4.580769230769231,52.5831612223393,3.1726399157007377,2017,1555000.0,28221.41560798548
11,CALIFORNIA,GLENN,06021,15.706724159402242,39.44386363636364,-4.064772727272727,45.04545454545455,191.4318181818182,776.0459999999999,1.1424251556662517,34.52272727272727,57.54545454545455,8.818181818181818,154787.27575156363,6.5227272727272725,54.72887920298879,3.332623100871731,2017,125000.0,2802.6905829596412
12,CALIFORNIA,KINGS,06031,17.96719580983078,42.20470588235294,-4.504313725490196,84.11764705882352,168.35294117647058,244.54790196078432,1.304865914585012,57.1764705882353,37.294117647058826,0.3137254901960784,165131.5622789647,1.5098039215686274,56.54783239323126,3.3394631211388663,2017,930000.0,10402.684563758388
13,CALIFORNIA,MERCED,06047,17.109834964122633,40.97892857142857,-1.9647619047619047,56.714285714285715,168.35714285714286,437.5050357142857,1.1470481735159817,34.57142857142857,48.035714285714285,2.3333333333333335,162734.1763289143,5.214285714285714,58.559096542726685,3.867429941291585,2017,1397000.0,17506.2656641604
